subwatershed,huc12,watershed,huc10,subbasin,huc8,basin,huc6,to_huc,area_sq_mi,area_acres,population_2000,population_2010,population_2020,Shape_Length,Shape_Area,Area_m2,PADPercArea
Lower Conoho Creek,030101070508,Conoho Creek-Roanoke River,0301010705,Lower Roanoke,03010107,Roanoke,030101,030101070509,34.645651525799636,22173.216973635226168,1809,2337,2052,87952.341976318144589,137063779.113107055425644,89731825.095092296600342,15.6377754
City of Williamston-Roanoke River,030101070509,Conoho Creek-Roanoke River,0301010705,Lower Roanoke,03010107,Roanoke,030101,030101070602,24.014599712920724,15369.343814275391196,3884,1849,1581,81932.671886003314285,95019132.328080132603645,62197527.046545833349228,41.9752121
Gardener Creek,030101070601,Gardener Creek-Roanoke River,0301010706,Lower Roanoke,03010107,Roanoke,030101,030101070602,40.831958711223486,26132.453571792855655,1777,1202,1115,61777.212138190676342,161005515.056178092956543,105754283.560555249452591,1.2235180
Devils Gut-Roanoke River,030101070602,Gardener Creek-Roanoke River,0301010706,Lower Roanoke,03010107,Roanoke,030101,030101070603,46.903608363391669,30018.309348676379159,637,1559,1265,75594.657427989572170,185370145.586499392986298,121479786.387103274464607,51.6083260
Broad Creek-Roanoke River,030101070603,Gardener Creek-Roanoke River,0301010706,Lower Roanoke,03010107,Roanoke,030101,030101070903,25.733448351934506,16469.406943101501383,582,902,687,59194.363371611223556,101676967.023278653621674,66649329.787560425698757,43.8881760
Wahtom Swamp,030101070701,Headwaters Cashie River,0301010707,Lower Roanoke,03010107,Roanoke,030101,030101070705,13.652530903801647,8737.619777299518319,247,285,222,39194.298813635905390,54386727.021472968161106,35359892.941515266895294,0.0000000
Headwaters Cashie River,030101070702,Headwaters Cashie River,0301010707,Lower Roanoke,03010107,Roanoke,030101,030101070705,24.197280524411120,15486.259533614078464,1586,435,331,49642.796478044059768,96362322.718462899327278,62670669.439766615629196,0.3248331
Connaritsa Swamp,030101070703,Headwaters Cashie River,0301010707,Lower Roanoke,03010107,Roanoke,030101,030101070705,28.083116830765089,17973.194769357985933,466,835,681,59128.233807213764521,111825045.001606717705727,72734939.045078590512276,0.0000000
Whiteoak Swamp,030101070704,Headwaters Cashie River,0301010707,Lower Roanoke,03010107,Roanoke,030101,030101070706,20.244624719365188,12956.559818712859851,767,690,699,44170.625647059023322,80488251.756432622671127,52433337.816534250974655,0.0000000
Town of Francis Mill-Cashie River,030101070705,Headwaters Cashie River,0301010707,Lower Roanoke,03010107,Roanoke,030101,030101070706,25.360876705472730,16230.961089396896568,639,761,621,57838.064565493659757,100817084.059901639819145,65684369.330522134900093,0.1313588
Chiska Creek-Cashie River,030101070706,Headwaters Cashie River,0301010707,Lower Roanoke,03010107,Roanoke,030101,030101070804,13.024743484798496,8335.835829189625656,752,469,595,32543.581320610403054,51705713.890686705708504,33733930.701792992651463,0.0000000
Hoggard Mill Creek,030101070801,Outlet Cashie River,0301010708,Lower Roanoke,03010107,Roanoke,030101,030101070804,48.610435797156072,31110.678906143886707,921,1749,1867,81048.878989660777734,193165032.892232954502106,125900451.171250656247139,0.0000000
Headwaters Roquist Creek,030101070802,Outlet Cashie River,0301010708,Lower Roanoke,03010107,Roanoke,030101,030101070803,36.993063533493370,23675.560658364316623,593,916,848,75497.593475662550190,146826259.420947194099426,95811594.441407278180122,0.0403395
Outlet Roquist Creek,030101070803,Outlet Cashie River,0301010708,Lower Roanoke,03010107,Roanoke,030101,030101070806,28.890811542018984,18490.119384493416874,1104,824,744,66931.906019975154777,114437965.504726931452751,74826858.742713212966919,0.3840251
Town of Windsor-Cashie River,030101070804,Outlet Cashie River,0301010708,Lower Roanoke,03010107,Roanoke,030101,030101070806,20.985463718254671,13430.696777940620450,2880,811,933,44652.711694147663366,83201922.278403207659721,54352101.560425013303757,4.0065913
Wading Place Creek,030101070805,Outlet Cashie River,0301010708,Lower Roanoke,03010107,Roanoke,030101,030101070806,26.874550674013676,17199.712429137427534,304,1037,714,44836.852720747781859,106534136.806371167302132,69604766.239198178052902,0.9501292
Swamp Creek-Cashie River,030101070806,Outlet Cashie River,0301010708,Lower Roanoke,03010107,Roanoke,030101,030101070807,18.954628210432805,12130.962053103241487,341,705,498,44915.402556487744732,75044266.412593051791191,49092262.197143182158470,15.6736727
Broad Creek-Cashie River,030101070807,Outlet Cashie River,0301010708,Lower Roanoke,03010107,Roanoke,030101,030101070903,12.866564794902441,8234.601467669283011,58,465,321,34223.525610597222112,50908195.926563583314419,33324249.121030978858471,45.3768845
Welch Creek,030101070901,Plymouth-Roanoke River,0301010709,Lower Roanoke,03010107,Roanoke,030101,030101070903,28.278111354211518,18097.991264347510878,2453,2086,1328,62941.124321801442420,111539823.348862305283546,73239931.598388865590096,0.0000000
Conaby Creek,030101070902,Plymouth-Roanoke River,0301010709,Lower Roanoke,03010107,Roanoke,030101,030101070903,26.813635714845390,17160.726855274780974,4167,1920,2544,62272.183317860937677,105955492.293602764606476,69446998.198614060878754,6.2476044
Town of Plymouth-Roanoke River,030101070903,Outlet Cashie River,0301010709,Lower Roanoke,03010107,Roanoke,030101,030102050105,41.943101525502215,26843.584972838991234,1537,1552,1677,102077.269437735172687,165982417.325266867876053,108632161.139371037483215,27.5339108
Mill Creek,030102011205,Mill Creek-Nottoway River,0301020112,Chowan,03010201,Chowan,030102,030102011206,0.887207675117876,567.812912001778272,12,59,32,15723.400765172429601,3566909.153715172316879,2297856.983030844479799,0.0000000
Round Gut-Nottoway River,030102011206,Mill Creek-Nottoway River,0301020112,Chowan,03010201,Chowan,030102,030102030202,0.262519927505998,168.012753582042478,1,15,9,5475.992385227487830,1055431.375500856898725,679923.357318612863310,0.9837815
City of Franklin-Blackwater River,030102020505,Kingsale Swamp-Blackwater River,0301020205,Chowan,03010202,Chowan,030102,030102030202,0.152775621966317,97.776398045758057,,4,4,3764.213928813860093,614310.310159460175782,395687.026049664244056,0.0000000
March Swamp-Somerton Creek,030102030103,Somerton Creek,0301020301,Chowan,03010203,Chowan,030102,030102030202,29.715159174624681,19017.701869292621268,,1068,924,70354.432850538811181,119420073.355194330215454,76961908.717787906527519,1.4354224
Buckhorn Creek,030102030201,Sarem Creek-Chowan River,0301020302,Chowan,03010203,Chowan,030102,030102030202,14.190259745667369,9081.766236048935752,,933,507,42412.622629814126412,57028805.253682188689709,36752603.772167436778545,0.0000000
Town of Winton-Chowan River,030102030202,Sarem Creek-Chowan River,0301020302,Chowan,03010203,Chowan,030102,030102030206,23.578666518568525,15090.346569926179654,,1130,1501,65133.877049433482171,94638590.456884428858757,61068461.380556754767895,51.8071594
Beasley Branch-Buckhorn Creek,030102030203,Sarem Creek-Chowan River,0301020302,Chowan,03010203,Chowan,030102,030102030206,17.302083689880806,11073.333560087168735,,556,475,63168.028652691624302,69403520.137491911649704,44812179.043133325874805,23.1329975
Headwaters Cole Creek,030102030204,Sarem Creek-Chowan River,0301020302,Chowan,03010203,Chowan,030102,030102030205,32.986095435767162,21111.101076152233873,,1395,1218,61056.141175076605577,132415810.248907610774040,85433602.825892955064774,0.0000000
Cole Creek-Sarem Creek,030102030205,Sarem Creek-Chowan River,0301020302,Chowan,03010203,Chowan,030102,030102030206,32.648388335041766,20894.968531716018333,,1168,1009,55738.684800227209053,130845547.983599886298180,84558937.019467204809189,16.8478775
Mud Creek-Chowan River,030102030206,Sarem Creek-Chowan River,0301020302,Chowan,03010203,Chowan,030102,030102030603,30.902412607660903,19777.544066337228287,,1243,862,74970.696026630146662,123702823.220813810825348,80036889.458846911787987,30.8626823
Upper Ahoskie Creek,030102030301,Ahoskie Creek,0301020303,Chowan,03010203,Chowan,030102,030102030304,38.724241532713627,24783.514577721543901,,1435,1191,68984.956302487975336,154543051.021244943141937,100295324.792623013257980,0.0000000
Wildcat Swamp-Loosing Swamp,030102030302,Ahoskie Creek,0301020303,Chowan,03010203,Chowan,030102,030102030303,20.976844029977414,13425.180177443891807,,664,547,42714.909869209404860,83517079.284651234745979,54329783.257342725992203,0.0000000
Stony Creek,030102030303,Ahoskie Creek,0301020303,Chowan,03010203,Chowan,030102,030102030304,41.623569911799940,26639.084740096062887,,1552,1319,72413.554289037085255,165909805.838628888130188,107804545.181890651583672,0.0000000
Middle Ahoskie Creek,030102030304,Ahoskie Creek,0301020303,Chowan,03010203,Chowan,030102,030102030306,31.535845341711827,20182.941016077227687,,3599,3315,56577.756320640313788,125909715.812255814671516,81677463.177936822175980,0.0000000
Montgomerys Millpond-Bear Swamp,030102030305,Ahoskie Creek,0301020303,Chowan,03010203,Chowan,030102,030102030306,17.269229011079073,11052.306565656785097,,1896,1684,42627.548694304059609,69031393.168655291199684,44727097.749602712690830,0.0000000
Lower Ahoskie Creek,030102030306,Ahoskie Creek,0301020303,Chowan,03010203,Chowan,030102,030102030405,19.531710049697374,12500.294430184650992,,3201,2765,46065.794333124184050,77984815.011745274066925,50586896.189295865595341,0.0000000
Cypress Swamp,030102030401,Wiccacon River,0301020304,Chowan,03010203,Chowan,030102,030102030403,15.329630392811181,9810.963450126375392,,531,446,39143.822896621757536,61075003.605110988020897,39703560.316616483032703,0.0000000
Barbeque Swamp,030102030402,Wiccacon River,0301020304,Chowan,03010203,Chowan,030102,030102030404,17.055152924929487,10915.297870538826828,,652,487,53361.861627692807815,67991295.484408840537071,44172642.594319686293602,0.0000000
Chinkapin Swamp,030102030403,Wiccacon River,0301020304,Chowan,03010203,Chowan,030102,030102030404,18.616102729020888,11914.305745027721059,,649,541,54987.694729524424474,74198789.666544258594513,48215484.455300778150558,0.0000000
Chinkapin Creek,030102030404,Wiccacon River,0301020304,Chowan,03010203,Chowan,030102,030102030405,24.373400451478382,15598.976286922501458,,1198,594,47980.553602433690685,97313685.155826419591904,63126817.432868748903275,0.0000000
Wiccacon River,030102030405,Wiccacon River,0301020304,Chowan,03010203,Chowan,030102,030102030603,31.065430633735033,19881.875603011136263,,1585,784,61564.813331367680803,124215062.061044797301292,80459096.897592231631279,7.8072190
Duke Swamp,030102030501,Bennetts Creek,0301020305,Chowan,03010203,Chowan,030102,030102030502,38.759648256328212,24806.174880831938935,,1800,1583,56574.773375295837468,155664327.709167420864105,100387029.108076378703117,0.0000000
Raynor Swamp,030102030502,Bennetts Creek,0301020305,Chowan,03010203,Chowan,030102,030102030503,20.302452336889338,12993.569493923516347,,592,506,47534.468029432551702,81350999.714442923665047,52583110.680383399128914,0.0000000
Merchants Millpond-Bennetts Creek,030102030503,Bennetts Creek,0301020305,Chowan,03010203,Chowan,030102,030102030504,17.511520414553669,11207.373063860410184,,662,485,37797.958852359755838,70194165.194176360964775,45354625.670600287616253,0.0000000
Bennetts Creek,030102030504,Bennetts Creek,0301020305,Chowan,03010203,Chowan,030102,030102030603,30.096753687019245,19261.922357193459902,,1250,1079,71607.108618443919113,120546710.494097113609314,77950222.899019062519073,11.9674549
Trotman Creek,030102030601,Holiday Island-Chowan River,0301020306,Chowan,03010203,Chowan,030102,030102030602,26.520075944799391,16972.848602469715843,,778,665,62365.918009131884901,106130675.448156803846359,68686684.353042080998421,0.5900711
Warwick Creek-Catherine Creek,030102030602,Holiday Island-Chowan River,0301020306,Chowan,03010203,Chowan,030102,030102030603,19.538682358312748,12504.756707697912134,,982,980,44036.223831979637907,78097444.386896088719368,50604955.613585539162159,0.5637145
Holiday Island-Chowan River,030102030603,Holiday Island-Chowan River,0301020306,Chowan,03010203,Chowan,030102,030102030605,31.873033691040781,20398.741559619760665,,1229,843,73595.629439392519998,127314704.789118632674217,82550790.553492382168770,10.8467093
Dillard Millpond-Indian Creek,030102030604,Holiday Island-Chowan River,0301020306,Chowan,03010203,Chowan,030102,030102030605,21.378071964267686,13681.966055356351717,,1255,1281,53349.669832477469754,85310122.781080901622772,55368952.343208946287632,0.0000000
Town of Colerain-Chowan River,030102030605,Holiday Island-Chowan River,0301020306,Chowan,03010203,Chowan,030102,030102030701,20.253388443419318,12962.168602106776234,,518,394,43185.834097470760753,80757068.810872644186020,52456036.047714658081532,2.1582720
Mount Gould Landing-Chowan River,030102030701,Chowan River,0301020307,Chowan,03010203,Chowan,030102,030102030706,23.389304085842152,14969.154612997022923,,612,582,47522.660662120099005,93080941.357808277010918,60578018.937991701066494,0.5792629
Bennett Millpond-Rockyhock Creek,030102030702,Chowan River,0301020307,Chowan,03010203,Chowan,030102,030102030706,23.504621824520697,15042.957965741717999,,1335,1323,57714.400400345461094,93610131.846644788980484,60876689.933587148785591,0.0000000
Cricket Swamp,030102030703,Chowan River,0301020307,Chowan,03010203,Chowan,030102,030102030705,12.686262439042315,8119.207959933772145,,438,368,41356.086931684549199,50420039.992603920400143,32857268.685887515544891,0.0000000
Eastmost Swamp,030102030704,Chowan River,0301020307,Chowan,03010203,Chowan,030102,030102030705,13.134147025939408,8405.854095510725529,,454,382,37019.855225719351438,52222595.251234911382198,34017284.394396059215069,0.0000000
Salmon Creek,030102030705,Chowan River,0301020307,Chowan,03010203,Chowan,030102,030102030706,19.609270022082832,12549.932812504905087,,704,540,51189.491361580083321,77811798.547027796506882,50787776.509708233177662,7.4902039
Edenhouse Point-Chowan River,030102030706,Chowan River,0301020307,Chowan,03010203,Chowan,030102,030102050105,24.460146162783033,15654.493542150275971,,813,704,46346.168694066414901,97128551.258749648928642,63351477.061634935438633,3.3447120
Beddingfield Creek-Rattlesnake Creek,030102040701,Fountains Creek,0301020407,Meherrin,03010204,Chowan,030102,030102040702,3.598869223498183,2303.276302740031952,,352,271,20833.627128855980118,14466743.734342062845826,9321028.520682251080871,0.0000000
Beaverpond Creek,030102040704,Fountains Creek,0301020407,Meherrin,03010204,Chowan,030102,030102040706,15.333115756785620,9813.194083069727640,,1395,1057,53523.621073325666657,61627991.853862166404724,39712587.240778401494026,0.0000000
Jacks Swamp,030102040705,Fountains Creek,0301020407,Meherrin,03010204,Chowan,030102,030102040706,22.848637769750415,14623.128170743200826,,799,675,53876.995195712072018,91791978.553594663739204,59177700.221578136086464,0.0000000
Mill Swamp-Fountains Creek,030102040706,Fountains Creek,0301020407,Meherrin,03010204,Chowan,030102,030102040902,5.862297352187387,3751.870304913195923,,187,157,48631.446010059044056,23566952.394041210412979,15183280.239128967747092,0.0000000
Wildcat Swamp,030102040801,Potecasi Creek,0301020408,Meherrin,03010204,Chowan,030102,030102040805,11.926226788708936,7632.785143783514286,,387,406,48319.490700313144771,47805830.170514121651649,30888785.470657669007778,2.1557245
Headwaters Potecasi Creek,030102040802,Potecasi Creek,0301020408,Meherrin,03010204,Chowan,030102,030102040805,38.274097566860448,24495.422439612888411,,1282,1071,76074.605080524372170,153350867.484475791454315,99129457.419412463903427,0.6023806
Headwaters Urahaw Swamp,030102040803,Potecasi Creek,0301020408,Meherrin,03010204,Chowan,030102,030102040804,26.648144768415012,17054.812649573079398,,960,615,57630.535501519458194,106514107.372827202081680,69018388.456992849707603,1.2314202
